UF,Município, Limite de Gasto Prefeito 1º Turno , Limite de Gasto Prefeito 2º Turno , Limite de Gasto Vereador , Limite Contratação Prefeito , Limite Contratação Vereador , Eleitorado Apto 
AC,ACRELÂNDIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 95 , 48 , 9 506 
AC,ASSIS BRASIL, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 55 , 28 , 5 505 
AC,BRASILÉIA, R$ 108 039,06 , R$ -   , R$ 15 201,10 , 176 , 88 , 17 613 
AC,BUJARI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 79 , 40 , 7 888 
AC,CAPIXABA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 79 , 40 , 7 882 
AC,CRUZEIRO DO SUL, R$ 568 224,37 , R$ -   , R$ 21 313,31 , 324 , 143 , 54 101 
AC,EPITACIOLÂNDIA, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 116 , 58 , 11 559 
AC,FEIJÓ, R$ 108 039,06 , R$ -   , R$ 16 308,97 , 197 , 99 , 19 739 
AC,JORDÃO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 47 , 24 , 4 724 
AC,MÂNCIO LIMA, R$ 108 039,06 , R$ -   , R$ 15 240,25 , 120 , 60 , 11 981 
AC,MANOEL URBANO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 67 , 34 , 6 711 
AC,MARECHAL THAUMATURGO, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 95 , 48 , 9 458 
AC,PLÁCIDO DE CASTRO, R$ 200 004,09 , R$ -   , R$ 33 472,81 , 136 , 68 , 13 586 
AC,PORTO ACRE, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 113 , 57 , 11 331 
AC,PORTO WALTER, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 59 , 30 , 5 884 
AC,RIO BRANCO, R$ 222 066,85 , R$ 66 620,06 , R$ 119 325,63 , 511 , 143 , 241 196 
AC,RODRIGUES ALVES, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 111 , 56 , 11 062 
AC,SANTA ROSA DO PURUS, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 32 , 16 , 3 157 
AC,SENA MADUREIRA, R$ 241 351,73 , R$ -   , R$ 49 204,07 , 276 , 138 , 27 557 
AC,SENADOR GUIOMARD, R$ 152 695,09 , R$ -   , R$ 19 364,88 , 162 , 81 , 16 206 
AC,TARAUACÁ, R$ 108 039,06 , R$ -   , R$ 33 236,86 , 249 , 125 , 24 900 
AC,XAPURI, R$ 108 039,06 , R$ -   , R$ 10 803,91 , 109 , 55 , 10 906 
AL,ÁGUA BRANCA, R$ 165 440,79 , R$ -   , R$ 26 160,21 , 145 , 73 , 14 518 
